"","vsn_avre_series","station_avre_series"
"1",0.165,29.197
"2",0.16,29.106
"3",0.162,28.039
"4",0.185,29.921
"5",0.296,33.779
"6",0.179,28.814
"7",0.275,33.628
"8",0.34,35.462
"9",0.368,36.423
"10",0.376,36.144
"11",0.378,35.408
"12",0.362,34.671
"13",0.371,35.613
"14",0.345,35.237
"15",0.367,35.827
"16",0.37,36.54
"17",0.338,35.719
"18",0.303,34.372
"19",0.275,34.473
"20",0.324,35.08
"21",0.289,32.323
"22",0.287,32.873
"23",0.272,32.361
"24",0.234,30.542
"25",0.247,31.342
"26",0.156,28.629
"27",0.155,28.897
"28",0.148,29.331
"29",0.146,29.108
"30",0.216,31.268
"31",0.245,32.169
"32",0.139,25.99
"33",0.24,29.316
"34",0.197,31.092
"35",0.208,30.991
"36",0.205,30.042
"37",0.212,29.625
"38",0.245,31.743
"39",0.283,32.505
"40",0.317,34.092
"41",0.35,35.833
"42",0.301,34.513
"43",0.267,33.615
"44",0.174,28.377
"45",0.156,27.165
"46",0.157,27.126
"47",0.198,29.449
"48",0.189,28.796
"49",0.186,28.863
"50",0.204,29.546
"51",0.187,29.365
"52",0.161,28.434
"53",0.18,30.006
"54",0.159,27.563
"55",0.203,27.831
"56",0.182,26.751
"57",0.166,27.561
"58",0.175,27.522
"59",0.199,28.691
"60",0.235,30.114
"61",0.236,30.131
"62",0.263,30.391
"63",0.289,31.47
"64",0.259,30.236
"65",0.265,30.343
"66",0.206,29.313
"67",0.204,28.693
"68",0.187,29.25
"69",0.149,27.138
"70",0.191,27.276
"71",0.184,26.77
"72",0.168,26.237
"73",0.116,24.698
"74",0.142,26.485
"75",0.151,26.668
"76",0.15,26.365
"77",0.253,30.658
"78",0.179,28.19
"79",0.283,31.988
"80",0.268,30.642
"81",0.324,31.628
"82",0.294,32.11
"83",0.253,31.299
"84",0.301,32.697
"85",0.249,31.208
"86",0.307,32.754
"87",0.372,34.915
"88",0.381,35.988
"89",0.401,36.57
"90",0.451,37.426
"91",0.391,36.264
"92",0.354,35.397
"93",0.341,35.522
"94",0.377,36.235
"95",0.334,33.514
"96",0.25,30.792
"97",0.24,33.347
"98",0.268,36.641
"99",0.248,33.904
"100",0.327,34.509
"101",0.249,33.796
"102",0.333,39.502
"103",0.375,39
"104",0.228,31.927
"105",0.252,32.577
"106",0.224,30.047
"107",0.272,33.461
"108",0.318,33.212
"109",0.363,34.585
"110",0.333,35.02
"111",0.306,33.175
"112",0.339,35.569
"113",0.371,35.479
"114",0.337,35.47
"115",0.354,35.015
"116",0.336,33.8
"117",0.319,34.358
"118",0.344,35.35
"119",0.317,36.118
"120",0.272,35.431
"121",0.247,35.102
"122",0.272,36.118
"123",0.299,40.31
"124",0.298,38.847
"125",0.247,36.254
"126",0.338,38.095
"127",0.37,37.525
"128",0.249,32.803
"129",0.163,27.908
"130",0.138,26.403
"131",0.178,27.535
"132",0.191,28.255
"133",0.237,28.992
"134",0.237,29.934
"135",0.266,31.983
"136",0.344,34.253
"137",0.317,33.493
"138",0.336,34.357
"139",0.324,33.89
"140",0.299,32.759
"141",0.283,31.909
"142",0.225,31.239
"143",0.229,30.107
"144",0.161,27.361
"145",0.132,25.949
"146",0.147,25.866
"147",0.135,26.016
"148",0.128,26.116
"149",0.247,34.102
"150",0.206,31.1
"151",0.227,30.038
"152",0.168,27.989
"153",0.146,26.785
"154",0.151,26.96
"155",0.172,28.298
"156",0.186,28.667
"157",0.192,29.058
"158",0.3,32.469
"159",0.284,29.731
"160",0.309,31.054
"161",0.264,29.636
"162",0.19,29.135
"163",0.174,29.005
"164",0.156,28.039
"165",0.164,28.497
"166",0.18,29.716
"167",0.229,30.467
"168",0.262,31.395
