"","vsn_avre_series","station_avre_series"
"1",0.44,35.095
"2",0.381,35.656
"3",0.369,36.071
"4",0.376,36.024
"5",0.364,36.186
"6",0.36,36.14
"7",0.385,36.04
"8",0.36,36.015
"9",0.293,34.365
"10",0.272,34.697
"11",0.375,34.775
"12",0.286,35.336
"13",0.265,33.396
"14",0.28,34.684
"15",0.329,35.325
"16",0.287,34.3
"17",0.369,34.984
"18",0.354,35.013
"19",0.359,36.083
"20",0.381,35.29
"21",0.333,34.345
"22",0.374,34.276
"23",0.326,33.903
"24",0.341,35.112
"25",0.439,36.013
"26",0.385,35.653
"27",0.368,34.189
"28",0.361,34.428
"29",0.344,34.966
"30",0.305,34.789
"31",0.363,34.762
"32",0.434,35.536
"33",0.286,36.316
"34",0.394,34.054
"35",0.402,34.537
"36",0.397,35.185
"37",0.36,35.667
"38",0.383,35.898
"39",0.376,36.398
"40",0.375,36.441
"41",0.344,36.039
"42",0.377,35.049
"43",0.321,35.178
"44",0.358,35.462
"45",0.368,36.363
"46",0.365,36.144
"47",0.346,36.256
"48",0.367,36.33
"49",0.335,36.139
"50",0.425,36.854
"51",0.378,36.551
"52",0.369,36.762
"53",0.382,37.091
"54",0.375,37.013
"55",0.377,36.928
"56",0.36,37.078
"57",0.365,37.007
"58",0.378,37.005
"59",0.392,37.249
"60",0.445,38.193
"61",0.358,36.119
"62",0.374,35.74
"63",0.402,35.678
"64",0.359,36.514
"65",0.354,36.767
"66",0.389,37.13
"67",0.365,36.477
"68",0.396,37.419
"69",0.375,38.098
"70",0.363,37.355
"71",0.342,36.624
"72",0.34,36.639
"73",0.358,36.298
"74",0.4,36.902
"75",0.371,37.242
"76",0.37,37.013
"77",0.37,37.03
"78",0.357,37.081
"79",0.35,37.284
"80",0.359,36.996
"81",0.277,36.677
"82",0.338,35.953
"83",0.328,36.212
"84",0.365,36.805
"85",0.355,35.986
"86",0.363,35.95
"87",0.326,35.687
"88",0.381,36.185
"89",0.285,36.576
"90",0.329,35.477
"91",0.34,33.949
"92",0.324,34.719
"93",0.383,35.196
"94",0.245,34.137
"95",0.333,33.775
"96",0.318,33.768
"97",0.332,33.85
"98",0.449,35.761
"99",0.4,36.215
"100",0.37,35.031
"101",0.362,34.378
"102",0.361,34.732
"103",0.407,35.121
"104",0.383,35.685
"105",0.385,36.17
"106",0.368,36.423
"107",0.368,36.332
"108",0.37,35.485
"109",0.342,35.806
"110",0.35,35.829
"111",0.362,36.341
"112",0.377,35.991
"113",0.342,35.87
"114",0.369,35.937
"115",0.318,35.545
"116",0.353,35.194
"117",0.289,36.4
"118",0.353,34.845
"119",0.374,35.259
"120",0.359,34.879
"121",0.398,35.488
"122",0.474,35.518
"123",0.413,35.588
"124",0.376,34.858
"125",0.404,34.661
"126",0.409,35.501
"127",0.399,35.137
"128",0.393,35.636
"129",0.37,35.895
"130",0.398,35.574
"131",0.374,35.207
"132",0.36,35.455
"133",0.379,35.432
"134",0.358,36.143
"135",0.35,36.202
"136",0.331,37.286
"137",0.377,36.709
"138",0.352,37.077
"139",0.371,37.088
"140",0.371,37.147
"141",0.37,36.739
"142",0.392,36.948
"143",0.376,36.737
"144",0.38,37.045
"145",0.372,37.087
"146",0.391,37.664
"147",0.373,37.227
"148",0.369,36.429
"149",0.387,35.839
"150",0.366,35.694
"151",0.372,35.722
"152",0.364,36.106
"153",0.379,36.011
"154",0.391,36.411
"155",0.392,36.223
"156",0.385,36.659
"157",0.389,36.379
"158",0.393,36.328
"159",0.38,35.429
"160",0.361,36.149
"161",0.347,36.635
"162",0.372,37.229
"163",0.382,38.259
"164",0.385,37.63
"165",0.377,36.671
"166",0.373,36.485
"167",0.356,36.519
"168",0.341,35.449
