"","vsn_avre_series","station_avre_series"
"1",0.447,33.045
"2",0.486,32.723
"3",0.497,30.967
"4",0.488,27.621
"5",0.495,28.368
"6",0.481,31.189
"7",0.488,31.904
"8",0.467,33.089
"9",0.457,32.959
"10",0.457,31.874
"11",0.449,32.785
"12",0.45,33.033
"13",0.447,31.546
"14",0.434,31.652
"15",0.439,31.461
"16",0.44,31.251
"17",0.456,31.367
"18",0.458,30.712
"19",0.469,29.296
"20",0.442,28.287
"21",0.476,43.882
"22",0.49,47.621
"23",0.435,34.611
"24",0.438,28.048
"25",0.47,35.877
"26",0.461,28.15
"27",0.425,29.882
"28",0.482,47.739
"29",0.48,47.077
"30",0.467,45.236
"31",0.456,44.068
"32",0.566,48.227
"33",0.535,48.767
"34",0.514,46.756
"35",0.454,27.481
"36",0.454,30.422
"37",0.452,28.609
"38",0.482,32.197
"39",0.461,33.656
"40",0.437,32.438
"41",0.432,29.67
"42",0.446,30.717
"43",0.481,31.974
"44",0.489,33.294
"45",0.5,32.334
"46",0.494,31.508
"47",0.49,29.181
"48",0.481,27.676
"49",0.446,28.189
"50",0.486,36.431
"51",0.497,29.621
"52",0.486,29.576
"53",0.487,29.858
"54",0.484,28.143
"55",0.482,28.559
"56",0.474,30.909
"57",0.494,31.762
"58",0.518,34.142
"59",0.512,34.633
"60",0.487,32.205
"61",0.475,37.102
"62",0.519,49.104
"63",0.502,49.07
"64",0.498,42.566
"65",0.462,33.948
"66",0.48,30.339
"67",0.486,30.015
"68",0.515,31.563
"69",0.517,34.207
"70",0.501,35.12
"71",0.499,34.7
"72",0.497,34.044
"73",0.464,34.3
"74",0.5,31.597
"75",0.488,27.854
"76",0.483,27.888
"77",0.473,31.166
"78",0.476,27.8
"79",0.48,27.681
"80",0.497,31.338
"81",0.476,31.656
"82",0.487,33.425
"83",0.495,34.932
"84",0.492,34.707
"85",0.487,33.926
"86",0.474,34.135
"87",0.461,34.917
"88",0.471,33.016
"89",0.47,32.841
"90",0.458,33.787
"91",0.478,33.861
"92",0.485,33.26
"93",0.486,33.392
"94",0.493,33.127
"95",0.496,33.682
"96",0.497,34.188
"97",0.462,33.913
"98",0.481,31.775
"99",0.466,27.77
"100",0.47,47.304
"101",0.438,25.51
"102",0.473,29.152
"103",0.491,33.038
"104",0.496,34.05
"105",0.491,33.523
"106",0.487,33.128
"107",0.478,33.31
"108",0.477,32.735
"109",0.462,32.627
"110",0.473,32.69
"111",0.475,32.866
"112",0.478,33.001
"113",0.463,32.424
"114",0.477,33.209
"115",0.476,33.342
"116",0.478,32.407
"117",0.478,29.742
"118",0.47,29.032
"119",0.477,28.222
"120",0.49,30.124
"121",0.444,30.284
"122",0.481,28.134
"123",0.551,48.131
"124",0.527,47.782
"125",0.459,27.631
"126",0.468,29.617
"127",0.49,32.621
"128",0.49,33.312
"129",0.493,32.947
"130",0.485,31.935
"131",0.459,29.365
"132",0.462,29.36
"133",0.437,40.32
"134",0.443,38.222
"135",0.486,45.438
"136",0.469,32.79
"137",0.484,34.539
"138",0.485,34.976
"139",0.5,35.456
"140",0.503,35.554
"141",0.499,35.282
"142",0.506,34.88
"143",0.507,34.629
"144",0.505,34.505
"145",0.455,34.352
"146",0.499,32.474
"147",0.479,32.944
"148",0.539,47.713
"149",0.522,48.235
"150",0.521,48.514
"151",0.482,28.876
"152",0.49,28.634
"153",0.493,31.605
"154",0.494,31.735
"155",0.499,30.91
"156",0.499,29.824
"157",0.47,31.277
"158",0.479,48.137
"159",0.466,47.952
"160",0.463,44.677
"161",0.433,29.761
"162",0.539,47.867
"163",0.518,35.179
"164",0.518,35.515
"165",0.515,34.491
"166",0.516,33.575
"167",0.468,31.974
"168",0.492,32.093
