,vsn_avre_series,station_avre_series
1,0.295,28.4
2,0.293,27.062
3,0.31,28.558
4,0.307,34.198
5,0.312,42.395
6,0.344,26.46
7,0.304,27.544
8,0.335,27.698
9,0.334,28.727
10,0.331,29.639
11,0.338,29.246
12,0.329,29.725
13,0.324,30.296
14,0.327,29.986
15,0.329,30.017
16,0.328,29.884
17,0.325,29.677
18,0.328,29.737
19,0.316,29.907
20,0.331,29.808
21,0.336,30.386
22,0.336,30.369
23,0.333,30.144
24,0.332,30.097
25,0.336,30.083
26,0.317,29.821
27,0.326,29.617
28,0.322,29.51
29,0.328,29.779
30,0.327,29.591
31,0.337,29.807
32,0.374,32.813
33,0.41,34.629
34,0.325,30.375
35,0.323,29.958
36,0.326,29.535
37,0.328,30.008
38,0.326,30.14
39,0.329,30.33
40,0.326,30.524
41,0.324,29.878
42,0.321,29.504
43,0.312,29.61
44,0.312,29.316
45,0.303,32.518
46,0.315,31.118
47,0.321,30.967
48,0.323,30.343
49,0.335,31.477
50,0.311,30.569
51,0.282,29.039
52,0.353,35.14
53,0.384,36.458
54,0.32,28.395
55,0.329,48.497
56,0.28,32.449
57,0.302,38.328
58,0.29,32.301
59,0.344,29.838
60,0.339,30.441
61,0.334,30.926
62,0.328,30.997
63,0.336,30.516
64,0.329,30.967
65,0.33,29.662
66,0.304,34.107
67,0.309,31.625
68,0.28,40.122
69,0.317,44.536
70,0.298,37.849
71,0.232,45.736
72,0.436,53.624
73,0.3,44.389
74,0.343,50.441
75,0.358,52.954
76,0.37,52.716
77,0.318,47.584
78,0.315,26.067
79,0.264,39.204
80,0.411,36.194
81,0.453,35.509
82,0.379,29.382
83,0.378,31.656
84,0.387,34.185
85,0.317,31.705
86,0.336,31.689
87,0.349,28.031
88,0.341,30.078
89,0.332,29.185
90,0.363,28.051
91,0.33,26.567
92,0.311,27.785
93,0.312,27.52
94,0.284,29.208
95,0.275,29.631
96,0.376,29.43
97,0.298,32.982
98,0.334,29.605
99,0.344,29.901
100,0.372,31.288
101,0.333,28.332
102,0.318,27.121
103,0.285,29.105
104,0.293,38.312
105,0.295,32.76
106,0.312,32.881
107,0.298,28.592
108,0.31,28.711
109,0.341,28.378
110,0.325,28.452
111,0.34,29.385
112,0.318,28.824
113,0.329,28.851
114,0.309,28.588
115,0.323,27.852
116,0.334,30.566
117,0.315,32.63
118,0.344,32.045
119,0.275,32.996
120,0.281,41.125
121,0.25,29.794
122,0.273,28.316
123,0.264,28.803
124,0.292,30.688
125,0.281,28.034
126,0.32,26.837
127,0.234,26.29
128,0.271,35.279
129,0.234,26.647
130,0.322,29.736
131,0.328,30.743
132,0.339,29.767
133,0.347,30.266
134,0.341,30.339
135,0.326,30.68
136,0.334,30.501
137,0.339,30.167
138,0.344,29.625
139,0.333,27.846
140,0.345,26.221
141,0.413,36.574
142,0.432,50.611
143,0.391,50.31
144,0.426,55.455
145,0.438,56.241
146,0.375,43.385
147,0.313,31.53
148,0.311,34.059
149,0.308,29.219
150,0.328,27.628
151,0.296,31.671
152,0.31,31.439
153,0.304,30.625
154,0.335,30.3
155,0.341,30.155
156,0.337,30.321
157,0.341,30.258
158,0.339,30.16
159,0.34,30.362
160,0.34,30.426
161,0.343,30.066
162,0.331,31.192
163,0.318,31.369
164,0.275,31.094
165,0.383,33.621
166,0.418,33.708
167,0.331,30.748
168,0.333,31.104
