"","vsn_avre_series","station_avre_series"
"1",2.473,13.589
"2",1.941,13.077
"3",2.379,13.825
"4",2.305,14.308
"5",2.458,14.535
"6",2.418,14.988
"7",2.712,16.457
"8",2.768,16.562
"9",2.883,16.677
"10",2.567,17.435
"11",2.635,17.594
"12",2.537,17.927
"13",2.375,18.503
"14",2.582,17.716
"15",2.489,17.67
"16",2.702,16.984
"17",2.643,17.042
"18",2.854,16.648
"19",2.878,16.704
"20",3.074,16.512
"21",3.033,15.64
"22",2.93,15.781
"23",2.837,15.666
"24",2.896,14.629
"25",2.378,14.214
"26",1.362,12.957
"27",1.905,14.885
"28",1.106,16.657
"29",1.691,13.93
"30",1.813,13.901
"31",1.804,13.735
"32",1.529,15.046
"33",1.908,14.402
"34",2.009,14.123
"35",2.103,14.789
"36",2.01,14.594
"37",1.922,14.863
"38",1.946,15.736
"39",1.954,15.822
"40",1.638,16.012
"41",1.662,16.278
"42",1.57,16.642
"43",1.703,16.329
"44",1.878,14.689
"45",1.981,14.928
"46",1.994,14.484
"47",1.948,14.685
"48",1.925,14.704
"49",2.395,15.581
"50",1.461,14.827
"51",1.287,14.565
"52",2.434,16.113
"53",1.6,14.613
"54",1.715,14.44
"55",1.749,14.544
"56",1.739,14.846
"57",1.709,15.289
"58",1.771,15.582
"59",1.757,15.692
"60",1.752,15.475
"61",1.808,15.238
"62",1.83,15.155
"63",1.801,15.473
"64",1.777,15.55
"65",1.805,15.363
"66",1.768,15.632
"67",1.748,15.779
"68",1.683,16.559
"69",1.626,16.755
"70",1.557,17.211
"71",1.588,17.036
"72",1.637,16.809
"73",2.213,16.724
"74",1.293,16.468
"75",1.2,16.589
"76",1.633,14.959
"77",1.542,16.164
"78",1.491,17.051
"79",1.379,18.055
"80",1.629,16.66
"81",1.631,16.919
"82",1.572,17.644
"83",1.549,18.091
"84",1.61,17.49
"85",1.531,18.371
"86",1.534,18.719
"87",1.805,16.43
"88",1.844,16.27
"89",1.858,16.253
"90",1.946,15.955
"91",2.014,15.617
"92",2.041,15.485
"93",2.039,15.484
"94",2.043,15.336
"95",2.047,15.305
"96",2.121,14.87
"97",2.805,16.01
"98",1.774,14.792
"99",1.608,14.541
"100",1.788,14.652
"101",1.59,17.152
"102",1.613,19.946
"103",1.677,16.852
"104",1.659,17.219
"105",1.791,16.641
"106",1.906,16.106
"107",1.71,17.41
"108",1.685,17.691
"109",1.599,18.322
"110",1.564,18.653
"111",1.837,17.006
"112",1.791,17.391
"113",1.645,18.273
"114",1.795,17.462
"115",1.832,17.282
"116",1.904,16.838
"117",1.947,16.623
"118",1.773,17.696
"119",1.883,17.05
"120",2.089,16.003
"121",2.876,16.547
"122",1.76,15.412
"123",1.546,15.321
"124",1.68,15.936
"125",1.8,15.711
"126",1.838,16.021
"127",1.6,19.144
"128",2.111,24.01
"129",2.732,35.444
"130",2.825,47.654
"131",2.867,20377632362475.1
"132",2.847,249851808286553
"133",2.869,154247471079860
"134",2.594,31.133
"135",2.71,32.048
"136",1.65,18.803
"137",1.759,18.077
"138",2.675,32.097
"139",2.799,140.35
"140",2.815,799292242986730
"141",1.862,20.276
"142",1.917,17.305
"143",1.734,18.472
"144",2.066,16.34
"145",2.028,20.702
"146",2.324,38.177
"147",2.087,29.232
"148",1.987,14.19
"149",2.024,14.629
"150",2.168,14.087
"151",2.183,14.348
"152",2.153,14.796
"153",2.214,14.723
"154",2.193,15.175
"155",2.193,15.591
"156",2.24,15.474
"157",2.227,15.335
"158",2.196,15.845
"159",2.241,15.518
"160",2.189,16.084
"161",2.204,16.081
"162",2.283,16.852
"163",2.3,16.63
"164",2.292,16.364
"165",2.273,16.51
"166",2.273,16.682
"167",2.259,15.992
"168",2.092,16.505
