"Estação";"Data";"Hora";"Média";"Validação";"Nome da Estação"
5,00;"01/01/2005";"02:00";48,77;9;"Ibirapuera"
5,00;"01/01/2005";"03:00";43,16;9;"Ibirapuera"
5,00;"01/01/2005";"04:00";19,80;9;"Ibirapuera"
5,00;"01/01/2005";"05:00";16,72;9;"Ibirapuera"
5,00;"01/01/2005";"06:00";12,76;9;"Ibirapuera"
5,00;"01/01/2005";"07:00";13,07;9;"Ibirapuera"
5,00;"01/01/2005";"08:00";10,60;9;"Ibirapuera"
5,00;"01/01/2005";"09:00";9,39;9;"Ibirapuera"
5,00;"01/01/2005";"10:00";10,11;9;"Ibirapuera"
5,00;"01/01/2005";"11:00";12,91;9;"Ibirapuera"
5,00;"01/01/2005";"12:00";9,33;9;"Ibirapuera"
5,00;"01/01/2005";"13:00";8,80;9;"Ibirapuera"
5,00;"01/01/2005";"14:00";9,18;9;"Ibirapuera"
5,00;"01/01/2005";"15:00";7,66;9;"Ibirapuera"
5,00;"01/01/2005";"16:00";6,28;9;"Ibirapuera"
5,00;"01/01/2005";"17:00";5,73;9;"Ibirapuera"
5,00;"01/01/2005";"18:00";6,78;9;"Ibirapuera"
5,00;"01/01/2005";"19:00";8,68;9;"Ibirapuera"
5,00;"01/01/2005";"20:00";13,22;9;"Ibirapuera"
5,00;"01/01/2005";"21:00";17,08;9;"Ibirapuera"
5,00;"01/01/2005";"22:00";18,81;9;"Ibirapuera"
5,00;"01/01/2005";"23:00";14,55;9;"Ibirapuera"
5,00;"01/01/2005";"24:00";14,06;9;"Ibirapuera"
5,00;"02/01/2005";"02:00";10,61;9;"Ibirapuera"
5,00;"02/01/2005";"03:00";12,21;9;"Ibirapuera"
5,00;"02/01/2005";"04:00";8,40;9;"Ibirapuera"
5,00;"02/01/2005";"05:00";7,89;9;"Ibirapuera"
5,00;"02/01/2005";"06:00";11,67;9;"Ibirapuera"
5,00;"02/01/2005";"07:00";20,91;9;"Ibirapuera"
5,00;"02/01/2005";"08:00";20,75;9;"Ibirapuera"
5,00;"02/01/2005";"09:00";15,88;9;"Ibirapuera"
5,00;"02/01/2005";"10:00";15,55;9;"Ibirapuera"
5,00;"02/01/2005";"11:00";12,06;9;"Ibirapuera"
5,00;"02/01/2005";"12:00";14,47;9;"Ibirapuera"
5,00;"02/01/2005";"13:00";13,17;9;"Ibirapuera"
5,00;"02/01/2005";"14:00";12,07;9;"Ibirapuera"
5,00;"02/01/2005";"15:00";10,52;9;"Ibirapuera"
5,00;"02/01/2005";"16:00";9,64;9;"Ibirapuera"
5,00;"02/01/2005";"17:00";9,36;9;"Ibirapuera"
5,00;"02/01/2005";"18:00";9,30;9;"Ibirapuera"
5,00;"02/01/2005";"19:00";9,77;9;"Ibirapuera"
5,00;"02/01/2005";"20:00";14,59;9;"Ibirapuera"
5,00;"02/01/2005";"21:00";19,85;9;"Ibirapuera"
5,00;"02/01/2005";"22:00";19,88;9;"Ibirapuera"
5,00;"02/01/2005";"23:00";23,96;9;"Ibirapuera"
5,00;"02/01/2005";"24:00";24,51;9;"Ibirapuera"
5,00;"03/01/2005";"02:00";19,34;9;"Ibirapuera"
5,00;"03/01/2005";"03:00";11,92;9;"Ibirapuera"
5,00;"03/01/2005";"04:00";15,84;9;"Ibirapuera"
5,00;"03/01/2005";"05:00";11,35;9;"Ibirapuera"
5,00;"03/01/2005";"06:00";19,72;9;"Ibirapuera"
5,00;"03/01/2005";"07:00";38,61;9;"Ibirapuera"
5,00;"03/01/2005";"08:00";37,85;9;"Ibirapuera"
5,00;"03/01/2005";"09:00";42,50;9;"Ibirapuera"
5,00;"03/01/2005";"10:00";64,27;9;"Ibirapuera"
5,00;"03/01/2005";"11:00";24,07;9;"Ibirapuera"
5,00;"03/01/2005";"12:00";9,36;9;"Ibirapuera"
5,00;"03/01/2005";"13:00";9,82;9;"Ibirapuera"
5,00;"03/01/2005";"14:00";9,10;9;"Ibirapuera"
5,00;"03/01/2005";"15:00";10,03;9;"Ibirapuera"
5,00;"03/01/2005";"16:00";13,39;9;"Ibirapuera"
5,00;"03/01/2005";"17:00";15,39;9;"Ibirapuera"
5,00;"03/01/2005";"18:00";43,13;9;"Ibirapuera"
5,00;"03/01/2005";"19:00";32,63;9;"Ibirapuera"
5,00;"03/01/2005";"20:00";45,35;9;"Ibirapuera"
5,00;"03/01/2005";"21:00";29,19;9;"Ibirapuera"
5,00;"03/01/2005";"22:00";47,54;9;"Ibirapuera"
5,00;"03/01/2005";"23:00";58,43;9;"Ibirapuera"
5,00;"03/01/2005";"24:00";57,76;9;"Ibirapuera"
5,00;"04/01/2005";"02:00";52,58;9;"Ibirapuera"
5,00;"04/01/2005";"03:00";29,10;9;"Ibirapuera"
5,00;"04/01/2005";"04:00";11,94;9;"Ibirapuera"
5,00;"04/01/2005";"05:00";10,96;9;"Ibirapuera"
5,00;"04/01/2005";"06:00";37,76;9;"Ibirapuera"
5,00;"04/01/2005";"07:00";40,18;9;"Ibirapuera"
5,00;"04/01/2005";"08:00";35,60;9;"Ibirapuera"
5,00;"04/01/2005";"09:00";37,46;9;"Ibirapuera"
5,00;"04/01/2005";"10:00";38,36;9;"Ibirapuera"
5,00;"04/01/2005";"11:00";34,21;9;"Ibirapuera"
5,00;"04/01/2005";"12:00";36,47;9;"Ibirapuera"
5,00;"04/01/2005";"13:00";33,75;9;"Ibirapuera"
5,00;"04/01/2005";"14:00";27,86;9;"Ibirapuera"
5,00;"04/01/2005";"15:00";21,52;9;"Ibirapuera"
5,00;"04/01/2005";"16:00";15,31;9;"Ibirapuera"
5,00;"04/01/2005";"17:00";13,37;9;"Ibirapuera"
5,00;"04/01/2005";"18:00";11,52;9;"Ibirapuera"
5,00;"04/01/2005";"19:00";19,05;9;"Ibirapuera"
5,00;"04/01/2005";"20:00";23,00;9;"Ibirapuera"
5,00;"04/01/2005";"21:00";28,38;9;"Ibirapuera"
5,00;"04/01/2005";"22:00";39,76;9;"Ibirapuera"
5,00;"04/01/2005";"23:00";39,76;9;"Ibirapuera"
5,00;"04/01/2005";"24:00";37,00;9;"Ibirapuera"
5,00;"05/01/2005";"02:00";26,79;9;"Ibirapuera"
5,00;"05/01/2005";"03:00";24,09;9;"Ibirapuera"
5,00;"05/01/2005";"04:00";15,51;9;"Ibirapuera"
5,00;"05/01/2005";"05:00";15,63;9;"Ibirapuera"
5,00;"05/01/2005";"06:00";19,97;9;"Ibirapuera"
5,00;"05/01/2005";"07:00";27,77;9;"Ibirapuera"
5,00;"05/01/2005";"08:00";36,35;9;"Ibirapuera"
5,00;"05/01/2005";"09:00";32,71;9;"Ibirapuera"
5,00;"05/01/2005";"10:00";28,52;9;"Ibirapuera"
5,00;"05/01/2005";"11:00";23,87;9;"Ibirapuera"
5,00;"05/01/2005";"12:00";20,08;9;"Ibirapuera"
5,00;"05/01/2005";"13:00";15,09;9;"Ibirapuera"
5,00;"05/01/2005";"14:00";17,44;9;"Ibirapuera"
5,00;"05/01/2005";"15:00";19,31;9;"Ibirapuera"
5,00;"05/01/2005";"16:00";19,00;9;"Ibirapuera"
5,00;"05/01/2005";"17:00";25,60;9;"Ibirapuera"
5,00;"05/01/2005";"18:00";23,21;9;"Ibirapuera"
5,00;"05/01/2005";"19:00";31,80;9;"Ibirapuera"
5,00;"05/01/2005";"20:00";34,15;9;"Ibirapuera"
5,00;"05/01/2005";"21:00";34,39;9;"Ibirapuera"
5,00;"05/01/2005";"22:00";31,76;9;"Ibirapuera"
5,00;"05/01/2005";"23:00";29,67;9;"Ibirapuera"
5,00;"05/01/2005";"24:00";28,85;9;"Ibirapuera"
5,00;"06/01/2005";"02:00";15,44;9;"Ibirapuera"
5,00;"06/01/2005";"03:00";12,51;9;"Ibirapuera"
5,00;"06/01/2005";"04:00";13,55;9;"Ibirapuera"
5,00;"06/01/2005";"05:00";11,99;9;"Ibirapuera"
5,00;"06/01/2005";"06:00";13,86;9;"Ibirapuera"
5,00;"06/01/2005";"07:00";17,46;9;"Ibirapuera"
5,00;"06/01/2005";"08:00";21,39;9;"Ibirapuera"
5,00;"06/01/2005";"09:00";25,71;9;"Ibirapuera"
