"Estação";"Data";"Hora";"Média";"Validação";"Nome da Estação"
1,00;"06/04/2005";"14:00";9,18;9;"P. D. Pedro II"
1,00;"06/04/2005";"15:00";4,06;9;"P. D. Pedro II"
1,00;"06/04/2005";"16:00";5,74;9;"P. D. Pedro II"
1,00;"06/04/2005";"17:00";10,64;9;"P. D. Pedro II"
1,00;"06/04/2005";"18:00";7,67;9;"P. D. Pedro II"
1,00;"06/04/2005";"19:00";8,05;9;"P. D. Pedro II"
1,00;"06/04/2005";"20:00";4,78;9;"P. D. Pedro II"
1,00;"06/04/2005";"21:00";4,62;9;"P. D. Pedro II"
1,00;"06/04/2005";"22:00";5,09;9;"P. D. Pedro II"
1,00;"06/04/2005";"23:00";2,08;9;"P. D. Pedro II"
1,00;"06/04/2005";"24:00";1,76;9;"P. D. Pedro II"
1,00;"07/04/2005";"01:00";2,01;9;"P. D. Pedro II"
1,00;"07/04/2005";"02:00";2,02;9;"P. D. Pedro II"
1,00;"07/04/2005";"03:00";15,04;9;"P. D. Pedro II"
1,00;"07/04/2005";"05:00";7,38;9;"P. D. Pedro II"
1,00;"07/04/2005";"06:00";12,19;9;"P. D. Pedro II"
1,00;"07/04/2005";"07:00";5,71;9;"P. D. Pedro II"
1,00;"07/04/2005";"08:00";12,38;9;"P. D. Pedro II"
1,00;"07/04/2005";"09:00";4,29;9;"P. D. Pedro II"
1,00;"07/04/2005";"10:00";3,55;9;"P. D. Pedro II"
1,00;"07/04/2005";"11:00";2,84;9;"P. D. Pedro II"
1,00;"07/04/2005";"12:00";2,25;9;"P. D. Pedro II"
1,00;"07/04/2005";"13:00";1,11;9;"P. D. Pedro II"
1,00;"07/04/2005";"14:00";0,53;9;"P. D. Pedro II"
1,00;"07/04/2005";"15:00";0,86;9;"P. D. Pedro II"
1,00;"07/04/2005";"16:00";1,76;9;"P. D. Pedro II"
1,00;"07/04/2005";"17:00";1,24;9;"P. D. Pedro II"
1,00;"07/04/2005";"18:00";1,84;9;"P. D. Pedro II"
1,00;"07/04/2005";"19:00";11,05;9;"P. D. Pedro II"
1,00;"07/04/2005";"20:00";10,89;9;"P. D. Pedro II"
1,00;"07/04/2005";"21:00";3,36;9;"P. D. Pedro II"
1,00;"07/04/2005";"22:00";3,80;9;"P. D. Pedro II"
1,00;"07/04/2005";"23:00";3,97;9;"P. D. Pedro II"
1,00;"07/04/2005";"24:00";13,71;9;"P. D. Pedro II"
1,00;"08/04/2005";"01:00";14,44;9;"P. D. Pedro II"
1,00;"08/04/2005";"02:00";35,63;9;"P. D. Pedro II"
1,00;"08/04/2005";"03:00";44,30;9;"P. D. Pedro II"
1,00;"08/04/2005";"05:00";44,64;9;"P. D. Pedro II"
1,00;"08/04/2005";"06:00";21,34;9;"P. D. Pedro II"
1,00;"08/04/2005";"07:00";140,58;9;"P. D. Pedro II"
1,00;"08/04/2005";"08:00";85,22;9;"P. D. Pedro II"
1,00;"08/04/2005";"09:00";52,56;9;"P. D. Pedro II"
1,00;"08/04/2005";"13:00";4,22;9;"P. D. Pedro II"
1,00;"08/04/2005";"14:00";2,24;9;"P. D. Pedro II"
1,00;"08/04/2005";"15:00";1,97;9;"P. D. Pedro II"
1,00;"08/04/2005";"16:00";3,10;9;"P. D. Pedro II"
1,00;"08/04/2005";"17:00";11,19;9;"P. D. Pedro II"
1,00;"08/04/2005";"18:00";7,86;9;"P. D. Pedro II"
1,00;"08/04/2005";"19:00";1,12;9;"P. D. Pedro II"
1,00;"08/04/2005";"20:00";0,36;9;"P. D. Pedro II"
1,00;"08/04/2005";"21:00";0,48;9;"P. D. Pedro II"
1,00;"08/04/2005";"22:00";0,59;9;"P. D. Pedro II"
1,00;"08/04/2005";"23:00";0,29;9;"P. D. Pedro II"
1,00;"08/04/2005";"24:00";0,24;9;"P. D. Pedro II"
1,00;"09/04/2005";"01:00";0,19;9;"P. D. Pedro II"
1,00;"09/04/2005";"02:00";0,30;9;"P. D. Pedro II"
1,00;"09/04/2005";"03:00";0,21;9;"P. D. Pedro II"
1,00;"09/04/2005";"05:00";0,64;9;"P. D. Pedro II"
1,00;"09/04/2005";"06:00";3,17;9;"P. D. Pedro II"
1,00;"09/04/2005";"07:00";4,68;9;"P. D. Pedro II"
1,00;"09/04/2005";"08:00";7,28;9;"P. D. Pedro II"
1,00;"09/04/2005";"09:00";12,26;9;"P. D. Pedro II"
1,00;"09/04/2005";"10:00";4,55;9;"P. D. Pedro II"
1,00;"09/04/2005";"11:00";0,94;9;"P. D. Pedro II"
1,00;"09/04/2005";"12:00";0,65;9;"P. D. Pedro II"
1,00;"09/04/2005";"13:00";2,28;9;"P. D. Pedro II"
1,00;"09/04/2005";"14:00";2,32;9;"P. D. Pedro II"
1,00;"09/04/2005";"15:00";2,32;9;"P. D. Pedro II"
1,00;"09/04/2005";"16:00";1,57;9;"P. D. Pedro II"
1,00;"09/04/2005";"17:00";1,95;9;"P. D. Pedro II"
1,00;"09/04/2005";"18:00";2,38;9;"P. D. Pedro II"
1,00;"09/04/2005";"19:00";1,59;9;"P. D. Pedro II"
1,00;"09/04/2005";"20:00";0,94;9;"P. D. Pedro II"
1,00;"09/04/2005";"21:00";0,55;9;"P. D. Pedro II"
