"Date","Time","1_CO","1_MP10","1_O3","2_MP10","2_O3","3_CO","3_MP10","3_O3","4_MP10","5_CO","5_MP10","5_NO2","5_O3","5_SO2","8_CO","8_SO2","12_CO","12_NO2","16_CO","16_MP10","16_O3","27_CO","27_MP10","27_NO2","27_O3","47_NO2","47_O3"
2005-10-15,"01:00",0.71,8.52,25.26,10.75,39.75,0.65,22.51,30.84,30.84,0.58,36.55,NA,26.85,2.35,0.87,1.26,0.41,NA,0.61,21.9,37.41,0.91,14.13,NA,5.59,26.91,18.69
2005-10-15,"02:00",0.67,33.37,21.29,42.38,37.05,0.72,33.5,15,35.54,0.64,25.07,38.74,18.99,2.6,0.88,1.35,0.33,55.91,0.73,22.46,24.48,0.89,15.55,54.04,4.16,23.13,10.56
2005-10-15,"03:00",0.79,31.39,7.1,41.76,34.11,0.8,38.28,4.44,33.98,0.62,26.17,51.38,9.68,5.03,0.87,2.23,0.44,60.83,0.79,27.9,21.37,0.72,29.35,48.59,6.47,14.06,12.46
2005-10-15,"04:00",0.73,34.36,8.59,32.49,46.12,0.81,42,5.46,36.51,0.64,30.21,49.43,8.59,NA,1.01,NA,0.35,58.5,0.77,36.86,12.96,0.72,28.69,40.83,6.76,3.09,NA
2005-10-15,"05:00",0.78,25.63,6.66,31.55,34.22,NA,31.02,19.86,26.63,NA,26.75,50.05,8.64,2.85,NA,3.22,NA,51.39,NA,54.52,11.26,NA,43.26,51.67,0,5.46,18.86
2005-10-15,"06:00",0.76,31.83,NA,28.18,NA,0.57,21.03,NA,36.47,0.61,22.71,35.64,NA,2.07,1.05,3.65,0.69,52.87,0.77,67.58,NA,0.84,37.18,47.17,NA,13.99,9.75
2005-10-15,"07:00",0.71,25.54,13.32,29.83,29.93,0.58,23.46,27.44,35.45,0.54,30.68,40.62,23.04,3.07,1.59,10.54,0.68,55.9,0.56,37.76,28.25,0.72,35.25,42.74,6.36,18.53,14.27
2005-10-15,"08:00",0.73,29.13,17.14,34.59,35.79,0.63,31.76,33.46,30.94,0.47,21.53,27.59,45.29,3.19,1.8,11.12,0.82,59.43,0.46,21.89,43.03,0.59,32.21,38.82,19.35,26.56,20.69
2005-10-15,"09:00",0.78,12.52,21.24,37.92,43.43,0.61,10.36,45.68,13.11,0.46,5.02,23.56,51.83,3.95,2.11,12.48,0.77,61.06,0.49,15.44,44.3,0.58,10.18,29.29,32.27,25.92,32.55
2005-10-15,"10:00",0.86,7.01,29.7,24.14,50.7,0.59,3.04,51.11,12.67,0.48,2.09,25.12,56.19,1.52,2.59,12.98,1.08,64.82,0.54,3.82,49.93,0.76,5.9,36.8,29.67,18.51,50.45
2005-10-15,"11:00",0.77,17.37,37.89,16.13,52.8,0.84,17.8,44.47,13.71,0.47,15.1,22.68,66.7,1.66,2.41,14.92,1.25,70.37,0.57,6.92,57.22,0.73,11.86,43.31,24.17,24.32,46.43
2005-10-15,"12:00",0.86,4.02,42.81,16.47,66.01,0.83,2.04,59.33,10.32,0.48,2.26,22.18,66.83,1.23,2.21,15.11,1.08,66.13,0.56,3.9,57.56,0.73,12.43,44.68,26.01,25.66,57.81
2005-10-15,"13:00",0.77,10.08,51.4,15.28,79.92,0.73,9.19,67.63,13.22,0.46,3.25,21.72,67.38,0.8,2.16,15.01,1.36,68.59,0.46,NA,55.87,0.65,6.24,31.01,39.51,17.13,75.4
2005-10-15,"14:00",0.76,15.85,60.17,12.29,81.66,0.61,7.38,85.26,11.18,0.48,3.32,18.15,84.02,1.35,2.02,13.75,1.33,69.41,0.48,1.61,60.83,0.66,10.23,38.72,32.36,16.77,71.76
2005-10-15,"15:00",0.66,16.71,70.76,12.18,74.14,0.71,16.53,73.06,19.9,0.44,5.44,19.7,84.68,1.11,1.99,11.35,1.37,71.74,0.46,1.25,65.42,0.64,7.77,38.83,43.51,16.1,75.17
2005-10-15,"16:00",0.63,15.91,61.8,15.51,63.43,0.67,13.61,67.94,7.11,0.42,6.9,19.24,77.15,1.93,1.82,10.65,0.97,63.38,0.4,NA,69.96,0.59,13.31,34.71,46.77,14.81,68.24
2005-10-15,"17:00",0.66,4.57,51.88,20.1,64.68,0.63,16.32,66.87,15.4,0.47,9.45,23.69,69.74,1.66,1.79,10.04,0.82,59.3,0.44,4.76,71.79,0.61,13.35,30.49,47.36,15.74,59.46
2005-10-15,"18:00",0.74,20.93,47.5,19.81,57.13,0.66,11.58,64.79,17.47,0.54,11.35,25.2,69.75,2.86,1.79,10.2,0.88,59.22,0.47,5.78,72.84,0.68,15.25,34.84,42.53,12.66,60.24
2005-10-15,"19:00",0.65,21.61,49.68,19.72,57.21,0.55,4.12,74.41,18.93,0.63,12.62,31.41,59.24,2.95,2,10.7,0.85,59.36,0.58,16.5,66.99,0.78,25,40.7,36.65,7.99,62.01
2005-10-15,"20:00",0.61,7.97,53.41,17.42,56.61,0.62,6.37,63.46,12.57,0.5,14.44,21.19,74.99,5.05,2,10.91,0.81,63.44,0.64,17.59,69.44,0.78,21.45,36.33,39.56,5.87,64.25
2005-10-15,"21:00",0.71,13.03,40.23,11.36,62,0.69,9.85,57.5,10.86,0.52,9.35,23.17,70.07,5.6,1.64,6.29,0.97,67.04,0.79,34.57,63.31,0.65,15.14,31.9,44.89,0.05,77.8
2005-10-15,"22:00",0.75,11.31,33.93,9.87,77.3,0.65,9.41,61.99,15.48,0.53,12.94,23.14,71.16,4.04,1.61,6.46,1.2,68.2,0.59,19.78,69.45,0.61,12.76,34.23,42.28,0.00255439796147402,76.78
2005-10-15,"23:00",0.72,15.68,36,8.82,72.99,0.55,6.5,70.16,17.54,0.51,6.39,20.76,71.75,3.22,1.46,5.68,1.12,66.52,0.65,31.57,63.19,0.62,8.09,31.98,43.61,0.45,70.09
2005-10-15,"24:00",0.73,12.52,32.78,8.17,63.18,0.55,4.82,69.67,13.24,0.53,9.16,21.42,67.64,4.86,1.25,3.07,1.09,57.56,0.77,28.2,51.88,0.62,21.68,30.92,42.07,1.82,64.9
2005-10-16,"01:00",0.68,22.54,37.55,10.17,67.86,0.57,39.85,65.79,16.45,0.49,63.22,NA,74.16,5.05,1.21,3.35,0.84,NA,0.66,22.36,56.89,0.67,18.09,NA,43.86,0.37,68.05
2005-10-16,"02:00",0.55,31.46,54.48,49.92,78.05,0.49,36.79,70.47,20.97,0.5,31.04,24.01,64.04,3.99,0.74,1.26,0.52,34.64,0.57,30.76,57.67,0.87,17.23,35.44,39.19,1.92,61.97
2005-10-16,"03:00",0.5,10.44,56.25,24.54,68.26,0.49,8.91,62.5,11.27,0.41,11.93,12.97,72.01,0.52,0.59,0.72,0.43,28.76,0.48,24.87,60.34,0.71,8.99,26.69,46.14,0.94,58.88
2005-10-16,"04:00",0.46,13.72,50.91,12.16,74.81,0.46,12.33,61.18,14.03,0.41,11.97,13.72,65.63,NA,0.57,NA,0.37,26.99,0.42,11.43,58.9,0.83,14.07,26.45,41.04,0,NA
2005-10-16,"05:00",0.45,23.99,41.99,17.52,74.88,NA,16.14,51.77,11.41,NA,13.94,14.15,62.09,3.61,NA,4.33,NA,33.79,NA,17.89,42.07,NA,19.37,22.36,42.1,0.00255439796147402,56.58
2005-10-16,"06:00",0.5,15.09,NA,22.2,NA,0.41,12.81,NA,17.9,0.34,6.89,13.87,NA,4.79,0.63,4.31,0.4,38.27,0.5,18.59,NA,0.49,18.96,21.73,NA,0.02,54.25
2005-10-16,"07:00",0.53,14.08,31.47,19.79,63.46,0.46,11.57,47.68,16.37,0.34,12.5,13.61,63.31,3.77,0.71,3.47,0.41,39.12,0.47,11.49,45.58,0.51,14.84,28.38,33.26,0.04,56.43
2005-10-16,"08:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68,3.89,0.42,44.7,0.52,10.12,50.9,0.59,16.52,26.77,35.68,0,56.03
2005-10-16,"09:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53.73
2005-10-16,"10:00",0.55,7.12,38.05,14.55,66.74,0.51,16.49,42.91,12.59,0.45,16.27,25.91,50.04,6.53,0.75,4.76,0.43,47.24,NA,NA,NA,0.58,8.93,25.78,39.71,0.01,61.66
2005-10-16,"11:00",0.58,11,45.57,16.65,74.66,0.51,18.72,52.91,21.56,0.5,18.19,22.44,59.83,8.8,0.99,8.09,0.56,44.99,0.61,12.08,67.16,0.69,8.69,29.49,39.24,4.37,63.36
2005-10-16,"12:00",0.69,19.97,43.37,18.77,73.23,0.58,15.93,61.17,21.46,0.53,23.81,21.37,67.12,5.59,1.07,6.59,0.67,48.94,0.69,12.3,78.93,0.76,17.58,32,44.65,NA,NA
