"","Timestamp","pt_bus_5370-10","pt_bus_6913-10","pt_bus_695Y-10","pt_bus_476A-10","pt_bus_5107-10","pt_bus_477U-10","pt_bus_5104-10","pt_bus_709A-10","pt_bus_477A-10","pt_bus_775P-10","pt_bus_5318-10","pt_bus_5391-10","pt_bus_5185-10","pt_bus_5154-10","pt_bus_5300-10","pt_bus_5317-10","pt_bus_857A-10"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,"2642 / 3965","2035 / 7018","4195 / 3768",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,"2597 / 4445","1761 / 6676","4330 / 4186",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",NA,"2527 / 4631","1504 / 6383","4412 / 4333","7811 / 3763","7694 / 3754",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,"2531 / 4932","1294 / 6212",NA,"7885 / 4408","7670 / 3993","4185 / 4715","7672 / 3972",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,"1077 / 6037",NA,"7826 / 5032","7646 / 4241","3987 / 4640","7661 / 4092","1061 / 5069",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,NA,NA,NA,"7795 / 5177","7623 / 4480",NA,"7646 / 4241","1532 / 5270","1044 / 5058","4039 / 5083",NA,NA,NA,NA,NA,NA,NA
"8",NA,NA,NA,NA,"7691 / 5502","7603 / 4676",NA,"7623 / 4480","1903 / 5182","1520 / 5365","4056 / 5269","2338 / 3599","3963 / 7875",NA,NA,NA,NA,NA
"9",NA,NA,NA,NA,"7659 / 5605","7580 / 4918",NA,"7603 / 4676","2238 / 4747","1822 / 5615","4043 / 5133","3767 / 7447","3721 / 7296","3285 / 7312",NA,NA,NA,NA
"10",NA,NA,NA,NA,"7575 / 5986","7333 / 5028",NA,"7580 / 4918","3008 / 4677","2144 / 5935","3993 / 5214","3704 / 6931","3701 / 6519","3254 / 7051","3227 / 7236","3862 / 7625","3992 / 7953","1156 / 5130"
"11",NA,NA,NA,NA,"7760 / 5653","7304 / 5214",NA,"7563 / 5050","3254 / 4768","2256 / 6049","3796 / 5541","3674 / 5996","3374 / 5682","3369 / 6701","3254 / 7050","3703 / 7045","3721 / 7296","1439 / 5217"
"12",NA,"2642 / 3965","2035 / 7018","4195 / 3768","7677 / 5624","7270 / 5554",NA,"7310 / 5152","3860 / 5136","2568 / 6177","3699 / 5804","3304 / 5627","2616 / 5094","3277 / 6228","3343 / 6782","3683 / 6154","3702 / 6548","1785 / 5242"
"13",NA,"2587 / 4469","1761 / 6676","4319 / 4163","7698 / 5480","7064 / 5715",NA,"7285 / 5410",NA,"3010 / 5856","3646 / 5917","2729 / 5164","2665 / 4180","2741 / 5991","3352 / 6265","3085 / 5453","3395 / 5698","2276 / 4701"
"14",NA,"2500 / 4722","1456 / 6340","4385 / 4331","7936 / 3867","7694 / 3752",NA,"7268 / 5574",NA,"3416 / 6036","3613 / 5981","2491 / 4996",NA,"2721 / 5241","2799 / 6016","2434 / 4740","2635 / 5107","2734 / 3830"
"15",NA,"2531 / 4932","1385 / 6282",NA,"7844 / 4841","7671 / 3981","4190 / 4708","7673 / 3966",NA,"3621 / 6123","3566 / 6089","2124 / 5219",NA,"2510 / 4534","2723 / 5323","2560 / 3888","2658 / 4200",NA
"16",NA,NA,"1077 / 6037",NA,"7736 / 5358","7646 / 4241","4094 / 4766","7668 / 4017","1044 / 5058","3765 / 6054","3523 / 6188","1981 / 5166",NA,"2731 / 3781","2794 / 5247",NA,NA,NA
"17",NA,NA,"892 / 5887",NA,"7691 / 5502","7623 / 4480",NA,"7645 / 4247","1480 / 5234","1044 / 5058","4040 / 5137","2444 / 4559",NA,NA,"2837 / 5203",NA,NA,NA
"18",NA,NA,NA,NA,"7690 / 5506","7603 / 4676",NA,"7623 / 4480","1913 / 5177","1478 / 5338","4003 / 5197","2337 / 3598","3962 / 7874",NA,"3035 / 4698",NA,NA,NA
"19",NA,NA,NA,NA,"7575 / 5986","7580 / 4918",NA,"7603 / 4676","2315 / 4670","1947 / 5742","4080 / 5099","3765 / 7442","3726 / 7272","3277 / 7302","2991 / 4423",NA,NA,NA
"20",NA,NA,NA,NA,"7638 / 5917","7455 / 5040",NA,"7580 / 4918","2605 / 4736","2166 / 5957","4013 / 5181","3718 / 7130","3695 / 6411","3261 / 7033","3263 / 7284","3848 / 7603","3992 / 7953","1319 / 5236"
"21",NA,NA,NA,NA,"7677 / 5624","7310 / 5152",NA,"7319 / 5060","3144 / 4722","2256 / 6049","3941 / 5301","3686 / 6191","3288 / 5615","3396 / 6543","3301 / 6910","3703 / 6953","3721 / 7287","1630 / 5307"
